#十二阶神器武器互转
88563	88564	88565	88566	88567	88568	88569	88570	88571	88572	88573	88598	88599	88600	88601	88602	88603	88604	88605	88606
#十二阶紫武器互转																			
75952	75956	75960	75964	75968	75972	75976	75980	75984	75988	75992	75996	76000	76004	76008	76012	76016	76020	84744	87307
#十二阶橙武器互转																			
75953	75957	75961	75965	75969	75973	75977	75981	75985	75989	75993	75997	76001	76005	76009	76013	76017	76021	84745	87308
#十二阶金过渡武器互转																			
75954	75958	75962	75966	75970	75974	75978	75982	75986	75990	75994	75998	76002	76006	76010	76014	76018	76022	84746	87309
#十二阶金武器互转																			
75955	75959	75963	75967	75971	75975	75979	75983	75987	75991	75995	75999	76003	76007	76011	76015	76019	76023	84747	87310
#十一阶斗神武器互转																			
65601	65602	65603	65604	65605	65606	65607	65608	65609	65610	65611	65612	65613	65614	65615	65616	65617	65618	84737	87297
#十一阶金武器互转																			
53007	53037	53067	53097	53127	53157	53187	53217	53247	53277	53307	53337	53367	53397	53427	53457	53487	53517	84722	87282
#十一阶橙武器互转																			
53006	53036	53066	53096	53126	53156	53186	53216	53246	53276	53306	53336	53366	53396	53426	53456	53486	53516	84721	87281
#十一阶紫武器互转																			
53005	53035	53065	53095	53125	53155	53185	53215	53245	53275	53305	53335	53365	53395	53425	53455	53485	53515	84720	87280
#十阶斗神武器互转																			
65583	65584	65585	65586	65587	65588	65589	65590	65591	65592	65593	65594	65595	65596	65597	65598	65599	65600	84736	87296
#十阶金武器互转																			
53001	53031	53061	53091	53121	53151	53181	53211	53241	53271	53301	53331	53361	53391	53421	53451	53481	53511	84716	87276
#十阶橙武器互转																			
53000	53030	53060	53090	53120	53150	53180	53210	53240	53270	53300	53330	53360	53390	53420	53450	53480	53510	84715	87275
#十阶紫武器互转																			
52999	53029	53059	53089	53119	53149	53179	53209	53239	53269	53299	53329	53359	53389	53419	53449	53479	53509	84714	87274
#十二阶橙+25武器互转																			
97851	97852	97853	97854	97855	97856	97857	97858	97859	97860	97861	97862	97863	97864	97865	97866	97867	97868	97869	97870
