1	1648	1	335	291	356
2	1649	1	209	289	406
3	1650	1	391	0	331
4	1651	1	211	288	314
5	1652	1	316	285	294
6	1653	1	360	285	259
7	1654	1	182	289	327
8	1655	1	93	2821	175
9	1656	1	352	0	117
10	1657	1	-205	282	175
11	1658	1	-214	282	122
12	1659	1	-229	280	-57
13	1660	1	-173	282	-186
14	1661	1	-160	282	-154
15	1662	1	-30	282	-132
16	1663	1	415	30	-318
17	1735	1	-45	295	-299
18	1736	1	-47	295	-299
19	1751	1	339	292	360
20	1875	1	343	303	-331
21	1877	1	-180	282	182
22	1878	1	-182	0	146
23	1879	1	-206	282	184
24	1880	1	-201	282	134
25	1881	2	-169	0	172
26	1882	1	-168	282	-152
27	1883	1	-205	282	169
28	1884	1	-190	282	110
29	1885	2	273	295	-249
30	1890	2	-288	0	292
31	1891	2	-298	291	278
32	1893	2	-345	291	300
33	1895	3	-82	116	128
34	1899	0	0	0	0
35	1900	3	12	0	-398
36	1901	3	-11	111	-403
37	1903	3	117	119	-273
38	1905	7	231	0	191
39	1906	7	211	0	169
40	1907	7	254	0	136
41	1908	7	261	301	162
42	1909	7	255	301	103
43	1910	7	90	300	190
44	1911	7	181	0	93
45	1912	7	17	0	153
46	1913	7	180	0	153
47	1914	0	0	0	0
48	1915	7	230	0	136
49	1917	1	-45	0	-285
50	1918	7	221	0	141
51	1919	1	-43	0	-289
52	1920	7	212	0	136
53	1921	1	352	0	-348
54	1922	7	230	0	136
55	1923	1	352	303	-351
56	1924	7	230	0	126
57	1925	2	-280	0	276
58	1926	7	221	0	121
59	1927	2	-307	0	341
60	1928	7	213	0	126
61	1929	1	-232	0	107
62	1930	7	234	0	98
63	1932	7	217	0	104
64	2096	3	145	117	-204
65	2107	0	0	0	0
66	2114	0	0	0	0
67	2201	3	220	161	415
68	2202	3	307	0	115
69	2203	3	418	139	95
70	2204	3	302	139	114
71	2206	3	-22	142	298
72	2207	3	20	132	308
73	2208	3	25	132	314
74	2209	3	-11	132	276
75	2210	3	-22	0	298
76	2211	0	0	0	0
77	2212	3	-22	132	280
78	2213	3	28	132	331
79	2214	0	0	0	0
80	2215	3	-22	149	298
81	2216	0	0	0	0
82	2218	3	-83	146	367
83	2219	3	-64	116	114
84	2220	3	-348	141	411
85	2221	3	-69	116	127
86	2222	3	-86	116	125
87	2223	3	-74	116	128
88	2224	3	91	110	133
89	2225	3	-44	116	104
90	2226	3	-47	116	104
91	2227	3	-334	110	73
92	2228	3	-337	110	72
93	2229	3	-334	110	71
94	2230	3	-394	109	68
95	2231	3	177	119	-328
96	2232	3	167	111	-34
97	2233	3	85	111	-340
98	2234	3	194	123	-47
99	2235	3	145	118	-251
100	2236	3	13	112	-341
101	2237	3	20	111	-353
102	2238	3	178	119	-336
103	2239	3	1	119	-239
104	2240	3	-51	111	-364
105	2241	3	-264	110	73
106	2242	3	177	110	-93
107	2243	3	-453	130	307
108	2244	3	131	115	-412
109	2245	3	351	109	-182
110	2251	0	0	0	0
111	2379	3	-179	130	459
112	2440	3	-183	114	-402
113	2460	3	311	139	108
114	2461	3	291	139	116
115	2483	1	-190	282	157
116	2484	1	-196	282	156
117	2485	2	-376	290	370
118	2487	3	165	0	-332
119	2488	3	163	117	-327
120	2489	7	250	0	322
121	2490	7	31	0	334
122	2493	7	262	307	324
123	2494	7	37	305	337
124	2676	2	226	300	392
125	2677	2	291	300	188
126	2678	2	346	300	216
127	2680	2	-305	291	296
128	2681	2	-362	291	367
129	2682	2	21	291	208
130	2683	2	-379	291	285
131	2684	7	196	300	173
132	2685	2	-329	291	404
133	2687	2	-350	291	310
134	2689	2	-348	291	281
135	2690	2	-168	298	107
136	2691	2	-284	291	369
137	2692	2	-338	291	295
138	2693	2	-418	298	166
139	2694	2	171	298	-150
140	2695	2	194	291	-110
141	2696	2	230	291	-139
142	2697	2	161	291	-132
143	2698	2	383	289	-35
144	2699	2	-287	291	324
145	2700	2	274	295	-244
146	2701	2	273	295	-253
147	2702	0	0	0	0
148	2703	0	0	0	0
149	2704	2	152	291	-157
150	2705	0	0	0	0
151	2706	0	0	0	0
152	2707	2	-42	298	-322
153	2708	2	-170	310	-328
154	2709	2	-110	306	-7
155	2710	2	383	295	-219
156	2711	2	102	307	309
157	2784	2	-284	0	330
158	2787	2	-304	291	313
159	2797	2	-371	291	281
160	2802	7	240	300	187
161	2803	2	-397	291	368
162	2809	7	174	300	111
163	2812	7	196	300	185
164	3150	1	-204	282	110
165	3151	1	-225	282	143
166	3152	1	-262	302	410
167	3162	7	17	305	320
168	3163	6	472	222	-308
169	3165	1	95	283	202
170	3166	7	163	0	203
171	3167	7	23	0	333
172	3168	7	216	0	142
173	3171	7	123	0	77
174	3252	1	316	281	340
175	3255	1	357	0	109
176	3258	1	356	0	111
177	3264	0	0	0	0
178	3267	1	336	303	-324
179	3270	1	-185	282	156
180	3273	1	-162	282	130
181	3276	1	-174	282	104
182	3279	1	-214	282	149
183	3282	1	-240	282	176
184	3285	1	-268	302	407
185	3288	1	-215	288	335
186	3307	1	409	293	-164
187	3308	0	0	0	0
188	3323	0	0	0	0
189	3326	0	0	0	0
190	3346	1	321	281	342
191	3348	1	336	303	-329
192	3352	2	-301	0	322
193	3354	7	254	0	155
194	3355	7	255	0	337
195	3365	7	90	0	186
196	3366	7	90	0	183
197	3367	7	90	0	180
198	3368	7	90	0	177
199	3369	7	90	0	173
200	3370	7	63	0	186
201	3371	7	90	0	170
202	3372	7	63	0	183
203	3373	7	90	0	166
204	3374	7	90	0	163
205	3375	7	63	0	180
206	3376	7	63	0	176
207	3377	7	63	0	173
208	3378	7	63	0	170
209	3379	7	63	0	167
210	3380	7	63	0	163
211	3381	7	63	0	160
212	3385	1	-205	282	169
213	3388	2	-348	291	301
214	3401	4	-320	0	-388
215	3403	7	-364	0	-246
216	3410	5	44	0	-62
217	3414	0	0	0	0
218	3419	6	118	0	80
219	3882	1	211	280	-217
220	3921	2	238	300	385
221	3924	2	-169	292	223
222	3927	2	-160	292	236
223	3996	1	-162	0	-171
224	4030	1	-229	284	-303
225	4117	2	273	295	-233
226	4135	7	117	0	334
227	4138	7	120	0	335
228	4141	7	124	0	335
229	4158	0	0	0	0
230	4805	2	-55	0	-299
231	4814	3	297	139	110
232	4949	0	0	0	0
233	4959	7	-87	309	-348
234	4962	7	-130	315	-397
235	4965	7	-42	310	-338
236	4968	7	75	0	159
237	5075	1	-160	0	111
238	5082	3	118	0	-274
239	5191	7	127	0	187
240	5202	7	178	0	128
241	5209	7	165	0	331
242	5218	7	169	308	333
243	5382	2	30	0	284
244	5435	1	-200	0	122
245	5436	2	-318	0	326
246	5437	3	-5	0	-399
247	5438	4	-306	0	-384
248	5439	5	35	0	-94
249	5440	6	155	0	106
250	6158	2	222	0	388
