1739	67	290	-336	1
3340	408	289	-102	1
1717	-132	274	-54	1
3315	303	303	-155	1
3140	-406	267	-20	1
3138	47	283	35	1
1702	327	285	292	1
1742	-176	283	57	1
1723	223	283	97	1
3875	260	293	-345	1
2658	-234	310	-385	2
2651	86	291	-159	2
2662	244	301	425	2
2614	99	291	185	2
2621	275	300	185	2
2656	-12	292	-164	2
3885	21	291	209	2
2629	43	296	380	2
2639	-83	304	25	2
2640	-95	297	73	2
2641	-87	295	103	2
2642	-116	301	63	2
2659	367	289	-42	2
2417	270	109	-153	3
2395	-457	148	416	3
2386	-234	141	417	3
2368	-189	146	354	3
2365	435	108	-34	3
2362	443	135	1	3
2444	-254	110	-359	3
2394	-433	173	470	3
2398	-412	141	443	3
2446	353	110	-210	3
2482	-455	148	414	3
2473	230	153	388	3
3887	-179	130	460	3
2415	141	111	-84	3
2406	-54	114	-71	3
4057	-412	304	-181	1
4058	-395	282	10	1
1724	-95	282	52	1
4566	99	283	-86	1
4112	170	111	-188	3
6331	40	218	346	4
6357	-272	220	342	4
6358	-258	224	389	4
6374	-432	235	466	4
6375	-167	219	178	4
6541	-390	218	176	4
6380	-117	219	229	4
6384	-161	219	-332	4
6389	-435	223	-143	4
6390	-185	218	-293	4
6397	-219	219	-142	4
6398	-134	220	24	4
6402	381	219	12	4
6400	-420	234	-336	4
6407	72	227	-108	4
6414	-41	219	-470	4
6415	-41	219	-244	4
6416	77	230	-134	4
6417	76	220	20	4
6542	-438	219	-133	4
7425	-66	302	364	7
4132	-215	291	299	2
8202	212	127	-200	3
8020	-199	301	75	2
8008	10	289	380	1
7063	160	115	350	5
7070	339	114	286	5
7071	436	117	248	5
7095	-352	121	12	5
7061	360	125	27	5
6962	434	214	-282	6
7251	399	231	-97	6
6970	411	257	-127	6
6971	426	232	-69	6
6976	195	224	173	6
6979	234	219	-3	6
6983	350	236	470	6
6989	124	220	-67	6
6991	291	232	-202	6
6992	25	226	-138	6
6996	141	219	-332	6
6999	213	221	-315	6
7007	-224	224	-294	6
7008	-242	227	-122	6
7017	-222	223	-130	6
7018	-375	228	-82	6
7020	-422	249	-11	6
7030	-344	277	245	6
7033	-280	269	112	6
7673	26	300	-58	7
7677	387	307	-244	7
7683	-194	299	-300	7
7684	-324	304	-318	7
7685	-242	298	-240	7
12419	-188	100	-185	1
12420	67	100	308	2
12421	19	100	252	2
12422	-265	100	169	1
12423	160	100	-28	7
12424	152	100	87	3
12425	-22	100	-67	3
12426	-72	100	63	3
12427	19	100	106	2
12428	-107	100	174	1
12429	287	100	-300	2
12430	368	100	254	7
12431	-111	100	348	7
12432	-148	100	-309	5
12433	-99	100	209	1
12434	-422	100	419	3
12435	125	100	-77	2
12436	98	100	224	1
12437	-346	100	201	2
12438	212	100	-104	3
12439	-38	100	-119	1
12440	-284	100	-248	1
12441	-343	100	-183	1
12442	114	100	89	1
12443	65	100	181	2
12444	-9	100	190	2
12445	113	100	-281	3
12446	-35	100	400	2
7428	-355	218	35	4
7426	-273	218	321	4
7435	-186	116	-364	5
7441	197	215	-112	6
7446	182	298	-86	7
12802	209	0	343	1
12803	325	0	-121	1
12804	331	0	251	1
12805	357	0	124	7
13429	-85	307	-291	2
13276	-63	301	278	7
14395	-365	301	-276	1
14396	-338	218	189	4
15854	266	0	-120	7
15855	-389	0	322	5
20001	-62	73	216	102
20194	-28	111	-152	103
20005	52	34	-135	102
20008	64	81	-6	102
20009	18	81	18	102
20204	-95	100	-200	103
20393	-163	105	7	103
20019	-109	71	102	102
20085	119	107	-140	103
20087	123	138	62	103
23042	-73	284	-98	1
23045	143	279	-225	1
23044	294	298	270	2
21985	-358	369	-354	108
23017	244	368	92	108
22559	182	381	-411	108
22566	-257	349	-64	108
22567	-78	401	-414	108
22568	267	368	218	108
21927	-134	300	-179	107
21932	-433	300	175	107
